,precision,recall,f1-score,support,lr,bs,epoch
joy,0.0,0.0,0.0,151.0,1e-10,64,11
fear,0.15280289330922242,1.0,0.26509803921568625,169.0,1e-10,64,11
shame,0.0,0.0,0.0,157.0,1e-10,64,11
disgust,0.0,0.0,0.0,153.0,1e-10,64,11
guilt,0.0,0.0,0.0,157.0,1e-10,64,11
anger,0.0,0.0,0.0,151.0,1e-10,64,11
sadness,0.0,0.0,0.0,169.0,1e-10,64,11
accuracy,0.15266485998193316,0.15266485998193316,0.15266485998193316,0.15266485998193316,1e-10,64,11
macro avg,0.021828984758460346,0.14285714285714285,0.037871148459383754,1107.0,1e-10,64,11
weighted avg,0.023327632311886712,0.15266485998193316,0.040471155038347764,1107.0,1e-10,64,11
