,precision,recall,f1-score,support,lr,bs,epoch
joy,0.0,0.0,0.0,151.0,1e-10,64,3
fear,0.0,0.0,0.0,169.0,1e-10,64,3
shame,0.1875,0.01910828025477707,0.034682080924855495,157.0,1e-10,64,3
disgust,0.0,0.0,0.0,153.0,1e-10,64,3
guilt,0.140625,0.9745222929936306,0.24578313253012046,157.0,1e-10,64,3
anger,0.0,0.0,0.0,151.0,1e-10,64,3
sadness,0.0,0.0,0.0,169.0,1e-10,64,3
accuracy,0.14092140921409213,0.14092140921409213,0.14092140921409213,0.14092140921409213,1e-10,64,3
macro avg,0.046875,0.14194722474977253,0.04006645906499656,1107.0,1e-10,64,3
weighted avg,0.04653624661246612,0.14092140921409213,0.039776909225321795,1107.0,1e-10,64,3
