,precision,recall,f1-score,support,lr,bs,epoch
joy,0.3333333333333333,0.006622516556291391,0.012987012987012988,151.0,1e-10,32,13
fear,0.1111111111111111,0.05325443786982249,0.07200000000000001,169.0,1e-10,32,13
shame,0.0,0.0,0.0,157.0,1e-10,32,13
disgust,0.14076246334310852,0.9411764705882353,0.2448979591836735,153.0,1e-10,32,13
guilt,0.0,0.0,0.0,157.0,1e-10,32,13
anger,0.0,0.0,0.0,151.0,1e-10,32,13
sadness,0.0,0.0,0.0,169.0,1e-10,32,13
accuracy,0.13911472448057813,0.13911472448057813,0.13911472448057813,0.13911472448057813,1e-10,32,13
macro avg,0.08360098682679327,0.14300763214490703,0.04712642459581235,1107.0,1e-10,32,13
weighted avg,0.08188596928871428,0.13911472448057813,0.04661104491069648,1107.0,1e-10,32,13
