,precision,recall,f1-score,support,lr,bs,epoch
joy,0.0,0.0,0.0,151.0,1e-10,16,13
fear,0.0,0.0,0.0,169.0,1e-10,16,13
shame,0.0,0.0,0.0,157.0,1e-10,16,13
disgust,0.0,0.0,0.0,153.0,1e-10,16,13
guilt,0.0,0.0,0.0,157.0,1e-10,16,13
anger,0.14050632911392405,0.7350993377483444,0.2359192348565356,151.0,1e-10,16,13
sadness,0.15141955835962145,0.28402366863905326,0.19753086419753088,169.0,1e-10,16,13
accuracy,0.14363143631436315,0.14363143631436315,0.14363143631436315,0.14363143631436315,1e-10,16,13
macro avg,0.041703698210506505,0.1455890009124854,0.0619214427220095,1107.0,1e-10,16,13
weighted avg,0.04228216897830041,0.14363143631436315,0.062336513561625645,1107.0,1e-10,16,13
