,precision,recall,f1-score,support,lr,bs,epoch
joy,0.32786885245901637,0.26490066225165565,0.29304029304029305,151.0,0.01250000008749999,32,9
fear,0.5233644859813084,0.33136094674556216,0.4057971014492754,169.0,0.01250000008749999,32,9
shame,0.6153846153846154,0.050955414012738856,0.09411764705882354,157.0,0.01250000008749999,32,9
disgust,0.1792,0.7320261437908496,0.2879177377892031,153.0,0.01250000008749999,32,9
guilt,0.27586206896551724,0.10191082802547771,0.1488372093023256,157.0,0.01250000008749999,32,9
anger,0.33858267716535434,0.2847682119205298,0.30935251798561153,151.0,0.01250000008749999,32,9
sadness,0.23636363636363636,0.07692307692307693,0.11607142857142856,169.0,0.01250000008749999,32,9
accuracy,0.2601626016260163,0.2601626016260163,0.2601626016260163,0.2601626016260163,0.01250000008749999,32,9
macro avg,0.3566609051884925,0.2632636119528415,0.23644770502813728,1107.0,0.01250000008749999,32,9
weighted avg,0.35805922591919276,0.2601626016260163,0.23609071578036053,1107.0,0.01250000008749999,32,9
