,precision,recall,f1-score,support,lr,bs,epoch
joy,0.3467741935483871,0.2847682119205298,0.31272727272727274,151.0,0.075000000025,16,3
fear,0.5764705882352941,0.28994082840236685,0.3858267716535433,169.0,0.075000000025,16,3
shame,0.24444444444444444,0.14012738853503184,0.17813765182186234,157.0,0.075000000025,16,3
disgust,0.18104906937394247,0.6993464052287581,0.28763440860215056,153.0,0.075000000025,16,3
guilt,0.24812030075187969,0.21019108280254778,0.2275862068965517,157.0,0.075000000025,16,3
anger,0.4915254237288136,0.19205298013245034,0.2761904761904762,151.0,0.075000000025,16,3
sadness,0.2,0.029585798816568046,0.05154639175257732,169.0,0.075000000025,16,3
accuracy,0.2601626016260163,0.2601626016260163,0.2601626016260163,0.2601626016260163,0.075000000025,16,3
macro avg,0.32691200286896593,0.2637160994054647,0.24566416852063347,1107.0,0.075000000025,16,3
weighted avg,0.3277686939753009,0.2601626016260163,0.24439869470382525,1107.0,0.075000000025,16,3
