,precision,recall,f1-score,support,lr,bs,epoch
joy,0.3577981651376147,0.2582781456953642,0.3,151.0,0.01250000008749999,16,13
fear,0.48333333333333334,0.3431952662721893,0.4013840830449827,169.0,0.01250000008749999,16,13
shame,0.2857142857142857,0.06369426751592357,0.10416666666666667,157.0,0.01250000008749999,16,13
disgust,0.1796116504854369,0.7254901960784313,0.28793774319066145,153.0,0.01250000008749999,16,13
guilt,0.30158730158730157,0.12101910828025478,0.1727272727272727,157.0,0.01250000008749999,16,13
anger,0.36036036036036034,0.26490066225165565,0.3053435114503817,151.0,0.01250000008749999,16,13
sadness,0.21568627450980393,0.0650887573964497,0.09999999999999999,169.0,0.01250000008749999,16,13
accuracy,0.2601626016260163,0.2601626016260163,0.2601626016260163,0.2601626016260163,0.01250000008749999,16,13
macro avg,0.31201305301830523,0.26309520049860974,0.23879418243999503,1107.0,0.01250000008749999,16,13
weighted avg,0.31279420307706,0.2601626016260163,0.23818211694365796,1107.0,0.01250000008749999,16,13
