,precision,recall,f1-score,support,lr,bs,epoch
joy,0.0,0.0,0.0,151.0,1e-10,64,7
fear,0.0,0.0,0.0,169.0,1e-10,64,7
shame,0.0,0.0,0.0,157.0,1e-10,64,7
disgust,0.16216216216216217,0.11764705882352941,0.13636363636363635,153.0,1e-10,64,7
guilt,0.0,0.0,0.0,157.0,1e-10,64,7
anger,0.0,0.0,0.0,151.0,1e-10,64,7
sadness,0.15438950554994954,0.9053254437869822,0.26379310344827583,169.0,1e-10,64,7
accuracy,0.15447154471544716,0.15447154471544716,0.15447154471544716,0.15447154471544716,1e-10,64,7
macro avg,0.045221666816015964,0.14613892894435881,0.057165248544558886,1107.0,1e-10,64,7
weighted avg,0.04598250880646096,0.15447154471544716,0.059118943854015345,1107.0,1e-10,64,7
