,precision,recall,f1-score,support,lr,bs,epoch
joy,0.38392857142857145,0.2847682119205298,0.3269961977186312,151.0,0.075000000025,16,7
fear,0.5952380952380952,0.2958579881656805,0.3952569169960474,169.0,0.075000000025,16,7
shame,0.20689655172413793,0.15286624203821655,0.1758241758241758,157.0,0.075000000025,16,7
disgust,0.18563922942206654,0.6928104575163399,0.29281767955801097,153.0,0.075000000025,16,7
guilt,0.2542372881355932,0.1910828025477707,0.21818181818181817,157.0,0.075000000025,16,7
anger,0.5471698113207547,0.19205298013245034,0.2843137254901961,151.0,0.075000000025,16,7
sadness,0.18867924528301888,0.05917159763313609,0.09009009009009009,169.0,0.075000000025,16,7
accuracy,0.26377597109304424,0.26377597109304424,0.26377597109304424,0.26377597109304424,0.075000000025,16,7
macro avg,0.33739839893603396,0.266944325707732,0.2547829434084243,1107.0,0.075000000025,16,7
weighted avg,0.33774047091487847,0.26377597109304424,0.2538315163806747,1107.0,0.075000000025,16,7
