,precision,recall,f1-score,support,lr,bs,epoch
joy,0.43478260869565216,0.1986754966887417,0.2727272727272727,151.0,0.1,16,7
fear,0.65,0.23076923076923078,0.34061135371179047,169.0,0.1,16,7
shame,0.18067226890756302,0.27388535031847133,0.2177215189873418,157.0,0.1,16,7
disgust,0.16225749559082892,0.6013071895424836,0.25555555555555554,153.0,0.1,16,7
guilt,0.24074074074074073,0.16560509554140126,0.1962264150943396,157.0,0.1,16,7
anger,0.6,0.15894039735099338,0.2513089005235602,151.0,0.1,16,7
sadness,0.28,0.04142011834319527,0.07216494845360825,169.0,0.1,16,7
accuracy,0.23577235772357724,0.23577235772357724,0.23577235772357724,0.23577235772357724,0.1,16,7
macro avg,0.3640647305621121,0.23865755407921677,0.22947370929335267,1107.0,0.1,16,7
weighted avg,0.36532015650697736,0.23577235772357724,0.22852618146129372,1107.0,0.1,16,7
