,precision,recall,f1-score,support,lr,bs,epoch
joy,0.38823529411764707,0.2185430463576159,0.2796610169491526,151.0,0.01250000008749999,64,7
fear,0.5882352941176471,0.23668639053254437,0.33755274261603374,169.0,0.01250000008749999,64,7
shame,1.0,0.025477707006369428,0.04968944099378882,157.0,0.01250000008749999,64,7
disgust,0.16748768472906403,0.8888888888888888,0.28186528497409324,153.0,0.01250000008749999,64,7
guilt,0.25,0.050955414012738856,0.08465608465608467,157.0,0.01250000008749999,64,7
anger,0.5535714285714286,0.2052980132450331,0.2995169082125604,151.0,0.01250000008749999,64,7
sadness,0.22,0.0650887573964497,0.10045662100456622,169.0,0.01250000008749999,64,7
accuracy,0.23757904245709124,0.23757904245709124,0.23757904245709124,0.23757904245709124,0.01250000008749999,64,7
macro avg,0.452504243076541,0.24156260249137715,0.20477115705803997,1107.0,0.01250000008749999,64,7
weighted avg,0.4522856328775787,0.23757904245709124,0.20388173918641955,1107.0,0.01250000008749999,64,7
