,precision,recall,f1-score,support,lr,bs,epoch
joy,0.4,0.13245033112582782,0.19900497512437812,151.0,0.01250000008749999,16,1
fear,0.2932330827067669,0.23076923076923078,0.2582781456953642,169.0,0.01250000008749999,16,1
shame,0.5714285714285714,0.050955414012738856,0.09356725146198831,157.0,0.01250000008749999,16,1
disgust,0.1642156862745098,0.8758169934640523,0.27657378740970073,153.0,0.01250000008749999,16,1
guilt,0.08333333333333333,0.006369426751592357,0.011834319526627219,157.0,0.01250000008749999,16,1
anger,0.484375,0.2052980132450331,0.28837209302325584,151.0,0.01250000008749999,16,1
sadness,0.2777777777777778,0.029585798816568046,0.053475935828877004,169.0,0.01250000008749999,16,1
accuracy,0.21499548328816623,0.21499548328816623,0.21499548328816623,0.21499548328816623,0.01250000008749999,16,1
macro avg,0.3249090645029942,0.21874931545500617,0.16872950115288446,1107.0,0.01250000008749999,16,1
weighted avg,0.32336411876197574,0.21499548328816623,0.1672486117315143,1107.0,0.01250000008749999,16,1
