,precision,recall,f1-score,support,lr,bs,epoch
joy,0.4166666666666667,0.16556291390728478,0.23696682464454977,151.0,0.025000000075,64,13
fear,0.8214285714285714,0.13609467455621302,0.233502538071066,169.0,0.025000000075,64,13
shame,0.0,0.0,0.0,157.0,0.025000000075,64,13
disgust,0.1544973544973545,0.954248366013072,0.2659380692167577,153.0,0.025000000075,64,13
guilt,0.22727272727272727,0.03184713375796178,0.05586592178770949,157.0,0.025000000075,64,13
anger,0.7894736842105263,0.09933774834437085,0.17647058823529413,151.0,0.025000000075,64,13
sadness,0.30303030303030304,0.05917159763313609,0.099009900990099,169.0,0.025000000075,64,13
accuracy,0.2023486901535682,0.2023486901535682,0.2023486901535682,0.2023486901535682,0.025000000075,64,13
macro avg,0.3874813295865928,0.20660891917314836,0.15253626327792516,1107.0,0.025000000075,64,13
weighted avg,0.3897747571688521,0.2023486901535682,0.1518366087236022,1107.0,0.025000000075,64,13
