,precision,recall,f1-score,support,lr,bs,epoch
joy,0.0,0.0,0.0,151.0,0.08750000001250001,32,9
fear,0.0,0.0,0.0,169.0,0.08750000001250001,32,9
shame,0.0,0.0,0.0,157.0,0.08750000001250001,32,9
disgust,0.1383363471971067,1.0,0.24305003971405878,153.0,0.08750000001250001,32,9
guilt,0.0,0.0,0.0,157.0,0.08750000001250001,32,9
anger,0.0,0.0,0.0,151.0,0.08750000001250001,32,9
sadness,0.0,0.0,0.0,169.0,0.08750000001250001,32,9
accuracy,0.13821138211382114,0.13821138211382114,0.13821138211382114,0.13821138211382114,0.08750000001250001,32,9
macro avg,0.019762335313872385,0.14285714285714285,0.03472143424486554,1107.0,0.08750000001250001,32,9
weighted avg,0.019119657742689544,0.13821138211382114,0.033592281911699176,1107.0,0.08750000001250001,32,9
