,precision,recall,f1-score,support,lr,bs,epoch
joy,0.3202614379084967,0.32450331125827814,0.3223684210526316,151.0,0.0375000000625,32,13
fear,0.6142857142857143,0.25443786982248523,0.3598326359832637,169.0,0.0375000000625,32,13
shame,0.5714285714285714,0.050955414012738856,0.09356725146198831,157.0,0.0375000000625,32,13
disgust,0.18411552346570398,0.6666666666666666,0.2885431400282885,153.0,0.0375000000625,32,13
guilt,0.20689655172413793,0.22929936305732485,0.2175226586102719,157.0,0.0375000000625,32,13
anger,0.3465346534653465,0.23178807947019867,0.2777777777777778,151.0,0.0375000000625,32,13
sadness,0.24390243902439024,0.05917159763313609,0.09523809523809523,169.0,0.0375000000625,32,13
accuracy,0.25564588979223124,0.25564588979223124,0.25564588979223124,0.25564588979223124,0.0375000000625,32,13
macro avg,0.35534641304319436,0.25954604313154694,0.23640714002175958,1107.0,0.0375000000625,32,13
weighted avg,0.357801921528533,0.25564588979223124,0.23533626549726688,1107.0,0.0375000000625,32,13
