,precision,recall,f1-score,support,lr,bs,epoch
joy,0.33695652173913043,0.2052980132450331,0.2551440329218107,151.0,0.0625000000375,16,1
fear,0.5319148936170213,0.2958579881656805,0.3802281368821293,169.0,0.0625000000375,16,1
shame,0.2127659574468085,0.12738853503184713,0.1593625498007968,157.0,0.0625000000375,16,1
disgust,0.17360114777618366,0.7908496732026143,0.2847058823529412,153.0,0.0625000000375,16,1
guilt,0.24,0.15286624203821655,0.1867704280155642,157.0,0.0625000000375,16,1
anger,0.75,0.1390728476821192,0.23463687150837986,151.0,0.0625000000375,16,1
sadness,0.0,0.0,0.0,169.0,0.0625000000375,16,1
accuracy,0.24119241192411925,0.24119241192411925,0.24119241192411925,0.24119241192411925,0.0625000000375,16,1
macro avg,0.32074836008273483,0.2444761856236444,0.21440684306880314,1107.0,0.0625000000375,16,1
weighted avg,0.3176777621795757,0.24119241192411925,0.21329570841843482,1107.0,0.0625000000375,16,1
