,precision,recall,f1-score,support,lr,bs,epoch
joy,0.2712765957446808,0.33774834437086093,0.30088495575221236,151.0,0.0375000000625,32,5
fear,0.5842696629213483,0.3076923076923077,0.40310077519379844,169.0,0.0375000000625,32,5
shame,0.6666666666666666,0.03821656050955414,0.07228915662650602,157.0,0.0375000000625,32,5
disgust,0.2804878048780488,0.1503267973856209,0.19574468085106383,153.0,0.0375000000625,32,5
guilt,0.22077922077922077,0.3248407643312102,0.26288659793814434,157.0,0.0375000000625,32,5
anger,0.16560509554140126,0.5165562913907285,0.2508038585209003,151.0,0.0375000000625,32,5
sadness,0.2702702702702703,0.05917159763313609,0.09708737864077671,169.0,0.0375000000625,32,5
accuracy,0.24480578139114725,0.24480578139114725,0.24480578139114725,0.24480578139114725,0.0375000000625,32,5
macro avg,0.3513364738288053,0.24779323761620264,0.2261139147890574,1107.0,0.0375000000625,32,5
weighted avg,0.35467933384726985,0.24480578139114725,0.226204461237711,1107.0,0.0375000000625,32,5
