,precision,recall,f1-score,support,lr,bs,epoch
joy,0.13739763421292084,1.0,0.2416,151.0,1e-10,16,1
fear,0.0,0.0,0.0,169.0,1e-10,16,1
shame,0.0,0.0,0.0,157.0,1e-10,16,1
disgust,0.0,0.0,0.0,153.0,1e-10,16,1
guilt,0.125,0.006369426751592357,0.012121212121212121,157.0,1e-10,16,1
anger,0.0,0.0,0.0,151.0,1e-10,16,1
sadness,0.0,0.0,0.0,169.0,1e-10,16,1
accuracy,0.13730803974706413,0.13730803974706413,0.13730803974706413,0.13730803974706413,1e-10,16,1
macro avg,0.037485376316131545,0.1437670609645132,0.03624588744588745,1107.0,1e-10,16,1
weighted avg,0.03646977666318974,0.13730803974706413,0.0346744627850319,1107.0,1e-10,16,1
