,precision,recall,f1-score,support,lr,bs,epoch
joy,0.4339622641509434,0.152317880794702,0.22549019607843138,151.0,0.1,16,11
fear,0.7560975609756098,0.1834319526627219,0.2952380952380952,169.0,0.1,16,11
shame,0.15987933634992457,0.6751592356687898,0.2585365853658536,157.0,0.1,16,11
disgust,0.3684210526315789,0.0915032679738562,0.14659685863874344,153.0,0.1,16,11
guilt,0.19487179487179487,0.24203821656050956,0.21590909090909088,157.0,0.1,16,11
anger,0.5,0.17218543046357615,0.25615763546798026,151.0,0.1,16,11
sadness,0.2153846153846154,0.08284023668639054,0.11965811965811968,169.0,0.1,16,11
accuracy,0.22764227642276422,0.22764227642276422,0.22764227642276422,0.22764227642276422,0.1,16,11
macro avg,0.37551666062349526,0.22849660297293514,0.21679808305090204,1107.0,0.1,16,11
weighted avg,0.37694050437769827,0.22764227642276422,0.2165885938824413,1107.0,0.1,16,11
