,precision,recall,f1-score,support,lr,bs,epoch
joy,0.3482142857142857,0.2582781456953642,0.2965779467680608,151.0,0.0375000000625,16,1
fear,0.4857142857142857,0.30177514792899407,0.3722627737226277,169.0,0.0375000000625,16,1
shame,0.5,0.012738853503184714,0.02484472049689441,157.0,0.0375000000625,16,1
disgust,0.17185385656292287,0.8300653594771242,0.28475336322869954,153.0,0.0375000000625,16,1
guilt,0.2608695652173913,0.11464968152866242,0.1592920353982301,157.0,0.0375000000625,16,1
anger,0.4492753623188406,0.2052980132450331,0.28181818181818186,151.0,0.0375000000625,16,1
sadness,0.4444444444444444,0.023668639053254437,0.0449438202247191,169.0,0.0375000000625,16,1
accuracy,0.24570912375790424,0.24570912375790424,0.24570912375790424,0.24570912375790424,0.0375000000625,16,1
macro avg,0.38005311428173866,0.24949626291880242,0.20921326309391627,1107.0,0.0375000000625,16,1
weighted avg,0.38244618251407864,0.24570912375790424,0.20806004068938558,1107.0,0.0375000000625,16,1
