,precision,recall,f1-score,support,lr,bs,epoch
joy,0.7777777777777778,0.046357615894039736,0.0875,151.0,0.01250000008749999,64,1
fear,0.6428571428571429,0.10650887573964497,0.18274111675126906,169.0,0.01250000008749999,64,1
shame,0.6666666666666666,0.012738853503184714,0.025,157.0,0.01250000008749999,64,1
disgust,0.1432637571157495,0.9869281045751634,0.2502071251035625,153.0,0.01250000008749999,64,1
guilt,0.3333333333333333,0.012738853503184714,0.024539877300613498,157.0,0.01250000008749999,64,1
anger,1.0,0.006622516556291391,0.013157894736842105,151.0,0.01250000008749999,64,1
sadness,0.5,0.01775147928994083,0.03428571428571429,169.0,0.01250000008749999,64,1
accuracy,0.16621499548328816,0.16621499548328816,0.16621499548328816,0.16621499548328816,0.01250000008749999,64,1
macro avg,0.5805569539643815,0.16994947129449287,0.08820453259685736,1107.0,0.01250000008749999,64,1
weighted avg,0.5785967989394862,0.16621499548328816,0.08847003380989588,1107.0,0.01250000008749999,64,1
