,precision,recall,f1-score,support,lr,bs,epoch
joy,0.38666666666666666,0.19205298013245034,0.2566371681415929,151.0,0.05000000005,32,5
fear,0.33980582524271846,0.41420118343195267,0.37333333333333335,169.0,0.05000000005,32,5
shame,0.5,0.03821656050955414,0.07100591715976332,157.0,0.05000000005,32,5
disgust,0.5454545454545454,0.0392156862745098,0.07317073170731708,153.0,0.05000000005,32,5
guilt,0.15889029003783103,0.802547770700637,0.26526315789473687,157.0,0.05000000005,32,5
anger,0.75,0.039735099337748346,0.07547169811320754,151.0,0.05000000005,32,5
sadness,0.0,0.0,0.0,169.0,0.05000000005,32,5
accuracy,0.21951219512195122,0.21951219512195122,0.21951219512195122,0.21951219512195122,0.05000000005,32,5
macro avg,0.38297390391453734,0.217995611483836,0.159268858049993,1107.0,0.05000000005,32,5
weighted avg,0.37575805973186177,0.21951219512195122,0.16010039645219895,1107.0,0.05000000005,32,5
