,precision,recall,f1-score,support,lr,bs,epoch
joy,0.35514018691588783,0.25165562913907286,0.29457364341085274,151.0,0.08750000001250001,16,11
fear,0.6097560975609756,0.2958579881656805,0.398406374501992,169.0,0.08750000001250001,16,11
shame,0.168141592920354,0.12101910828025478,0.14074074074074072,157.0,0.08750000001250001,16,11
disgust,0.17615658362989323,0.6470588235294118,0.27692307692307694,153.0,0.08750000001250001,16,11
guilt,0.23376623376623376,0.22929936305732485,0.2315112540192926,157.0,0.08750000001250001,16,11
anger,0.5777777777777777,0.17218543046357615,0.26530612244897955,151.0,0.08750000001250001,16,11
sadness,0.20454545454545456,0.05325443786982249,0.08450704225352113,169.0,0.08750000001250001,16,11
accuracy,0.25022583559168926,0.25022583559168926,0.25022583559168926,0.25022583559168926,0.08750000001250001,16,11
macro avg,0.33218341815951097,0.2529043972150205,0.24170975061406505,1107.0,0.08750000001250001,16,11
weighted avg,0.33291694766025126,0.25022583559168926,0.2411626070669127,1107.0,0.08750000001250001,16,11
