,precision,recall,f1-score,support,lr,bs,epoch
joy,0.30656934306569344,0.2781456953642384,0.2916666666666667,151.0,0.0375000000625,32,11
fear,0.6216216216216216,0.27218934911242604,0.3786008230452675,169.0,0.0375000000625,32,11
shame,0.5263157894736842,0.06369426751592357,0.11363636363636365,157.0,0.0375000000625,32,11
disgust,0.18904593639575973,0.6993464052287581,0.29763560500695413,153.0,0.0375000000625,32,11
guilt,0.22448979591836735,0.21019108280254778,0.21710526315789475,157.0,0.0375000000625,32,11
anger,0.3140495867768595,0.25165562913907286,0.27941176470588236,151.0,0.0375000000625,32,11
sadness,0.2558139534883721,0.0650887573964497,0.10377358490566037,169.0,0.0375000000625,32,11
accuracy,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.0375000000625,32,11
macro avg,0.3482722895343368,0.2629015980799166,0.24026143873209851,1107.0,0.0375000000625,32,11
weighted avg,0.3512200323169989,0.25925925925925924,0.2395833794523254,1107.0,0.0375000000625,32,11
