,precision,recall,f1-score,support,lr,bs,epoch
joy,0.31007751937984496,0.26490066225165565,0.28571428571428575,151.0,0.025000000075,32,9
fear,0.5777777777777777,0.3076923076923077,0.4015444015444016,169.0,0.025000000075,32,9
shame,0.6,0.03821656050955414,0.0718562874251497,157.0,0.025000000075,32,9
disgust,0.1825657894736842,0.7254901960784313,0.29172141918528255,153.0,0.025000000075,32,9
guilt,0.3013698630136986,0.14012738853503184,0.19130434782608696,157.0,0.025000000075,32,9
anger,0.2948717948717949,0.304635761589404,0.29967426710097717,151.0,0.025000000075,32,9
sadness,0.24390243902439024,0.05917159763313609,0.09523809523809523,169.0,0.025000000075,32,9
accuracy,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.025000000075,32,9
macro avg,0.35865216907731295,0.26289063918421723,0.2338647291477541,1107.0,0.025000000075,32,9
weighted avg,0.3610288503831874,0.25925925925925924,0.23333289096760526,1107.0,0.025000000075,32,9
