,precision,recall,f1-score,support,lr,bs,epoch
joy,0.0,0.0,0.0,151.0,1e-10,16,9
fear,0.1503690036900369,0.9644970414201184,0.2601755786113328,169.0,1e-10,16,9
shame,0.3076923076923077,0.025477707006369428,0.04705882352941177,157.0,1e-10,16,9
disgust,0.0,0.0,0.0,153.0,1e-10,16,9
guilt,0.0,0.0,0.0,157.0,1e-10,16,9
anger,0.0,0.0,0.0,151.0,1e-10,16,9
sadness,0.1,0.005917159763313609,0.011173184357541898,169.0,1e-10,16,9
accuracy,0.15176151761517614,0.15176151761517614,0.15176151761517614,0.15176151761517614,1e-10,16,9
macro avg,0.07972304448319209,0.14227027259854305,0.045486798071183776,1107.0,1e-10,16,9
weighted avg,0.08186093399395533,0.15176151761517614,0.048099526861659865,1107.0,1e-10,16,9
