,precision,recall,f1-score,support,lr,bs,epoch
joy,0.3644067796610169,0.2847682119205298,0.31970260223048325,151.0,0.05000000005,16,11
fear,0.5869565217391305,0.31952662721893493,0.41379310344827597,169.0,0.05000000005,16,11
shame,0.2222222222222222,0.11464968152866242,0.1512605042016807,157.0,0.05000000005,16,11
disgust,0.18771331058020477,0.7189542483660131,0.2976995940460081,153.0,0.05000000005,16,11
guilt,0.25217391304347825,0.18471337579617833,0.21323529411764705,157.0,0.05000000005,16,11
anger,0.515625,0.2185430463576159,0.30697674418604654,151.0,0.05000000005,16,11
sadness,0.19607843137254902,0.05917159763313609,0.0909090909090909,169.0,0.05000000005,16,11
accuracy,0.2682926829268293,0.2682926829268293,0.2682926829268293,0.2682926829268293,0.05000000005,16,11
macro avg,0.3321680255169431,0.2714752555458672,0.2562252761627475,1107.0,0.05000000005,16,11
weighted avg,0.3328076201988922,0.2682926829268293,0.2553722948333014,1107.0,0.05000000005,16,11
