,precision,recall,f1-score,support,lr,bs,epoch
joy,0.16666666666666666,0.006622516556291391,0.012738853503184714,151.0,0.08750000001250001,32,9
fear,0.0,0.0,0.0,169.0,0.08750000001250001,32,9
shame,0.0,0.0,0.0,157.0,0.08750000001250001,32,9
disgust,0.0,0.0,0.0,153.0,0.08750000001250001,32,9
guilt,0.14377289377289376,1.0,0.25140112089671734,157.0,0.08750000001250001,32,9
anger,0.0,0.0,0.0,151.0,0.08750000001250001,32,9
sadness,1.0,0.05325443786982249,0.10112359550561797,169.0,0.08750000001250001,32,9
accuracy,0.15085817524841916,0.15085817524841916,0.15085817524841916,0.15085817524841916,0.08750000001250001,32,9
macro avg,0.18720565149136578,0.15141099348944484,0.05218050998650286,1107.0,0.08750000001250001,32,9
weighted avg,0.1957895311553848,0.15085817524841916,0.05283056052413275,1107.0,0.08750000001250001,32,9
