,precision,recall,f1-score,support,lr,bs,epoch
joy,0.6432748538011696,0.7284768211920529,0.6832298136645963,151.0,0.025000000075,32,7
fear,0.5679611650485437,0.6923076923076923,0.624,169.0,0.025000000075,32,7
shame,0.42168674698795183,0.445859872611465,0.43343653250773995,157.0,0.025000000075,32,7
disgust,0.4564102564102564,0.5816993464052288,0.5114942528735632,153.0,0.025000000075,32,7
guilt,0.44715447154471544,0.3503184713375796,0.3928571428571428,157.0,0.025000000075,32,7
anger,0.4588235294117647,0.2582781456953642,0.3305084745762712,151.0,0.025000000075,32,7
sadness,0.6335403726708074,0.6035502958579881,0.6181818181818182,169.0,0.025000000075,32,7
accuracy,0.5257452574525745,0.5257452574525745,0.5257452574525745,0.5257452574525745,0.025000000075,32,7
macro avg,0.5184073422678871,0.5229272350581959,0.5133868620944474,1107.0,0.025000000075,32,7
weighted avg,0.5200627428004709,0.5257452574525745,0.5157994006495393,1107.0,0.025000000075,32,7
