,precision,recall,f1-score,support,lr,bs,epoch
joy,0.592391304347826,0.7218543046357616,0.6507462686567165,151.0,0.0625000000375,16,9
fear,0.6688311688311688,0.6094674556213018,0.6377708978328173,169.0,0.0625000000375,16,9
shame,0.32661290322580644,0.5159235668789809,0.4,157.0,0.0625000000375,16,9
disgust,0.4523809523809524,0.49673202614379086,0.4735202492211838,153.0,0.0625000000375,16,9
guilt,0.5833333333333334,0.31210191082802546,0.4066390041493776,157.0,0.0625000000375,16,9
anger,0.4423076923076923,0.304635761589404,0.3607843137254902,151.0,0.0625000000375,16,9
sadness,0.6121212121212121,0.5976331360946746,0.6047904191616766,169.0,0.0625000000375,16,9
accuracy,0.5103884372177055,0.5103884372177055,0.5103884372177055,0.5103884372177055,0.0625000000375,16,9
macro avg,0.525425509506856,0.5083354516845628,0.5048930218210375,1107.0,0.0625000000375,16,9
weighted avg,0.5282713150225893,0.5103884372177055,0.5075202369413515,1107.0,0.0625000000375,16,9
