,precision,recall,f1-score,support,lr,bs,epoch
joy,0.0,0.0,0.0,151.0,1e-10,32,9
fear,0.15151515151515152,0.05917159763313609,0.0851063829787234,169.0,1e-10,32,9
shame,0.0,0.0,0.0,157.0,1e-10,32,9
disgust,0.0,0.0,0.0,153.0,1e-10,32,9
guilt,0.1398264223722276,0.9235668789808917,0.24288107202680068,157.0,1e-10,32,9
anger,0.0,0.0,0.0,151.0,1e-10,32,9
sadness,0.0,0.0,0.0,169.0,1e-10,32,9
accuracy,0.14001806684733514,0.14001806684733514,0.14001806684733514,0.14001806684733514,1e-10,32,9
macro avg,0.04162022484105416,0.14039121094486112,0.046855350715074864,1107.0,1e-10,32,9
weighted avg,0.042961887008582056,0.14001806684733514,0.04743930174490692,1107.0,1e-10,32,9
