,precision,recall,f1-score,support,lr,bs,epoch
joy,0.6709677419354839,0.6887417218543046,0.6797385620915033,151.0,0.0375000000625,16,9
fear,0.6477987421383647,0.6094674556213018,0.6280487804878049,169.0,0.0375000000625,16,9
shame,0.36574074074074076,0.5031847133757962,0.42359249329758714,157.0,0.0375000000625,16,9
disgust,0.4166666666666667,0.5555555555555556,0.4761904761904762,153.0,0.0375000000625,16,9
guilt,0.574468085106383,0.34394904458598724,0.4302788844621514,157.0,0.0375000000625,16,9
anger,0.453781512605042,0.3576158940397351,0.4,151.0,0.0375000000625,16,9
sadness,0.625,0.591715976331361,0.6079027355623101,169.0,0.0375000000625,16,9
accuracy,0.5230352303523035,0.5230352303523035,0.5230352303523035,0.5230352303523035,0.0375000000625,16,9
macro avg,0.5363462127418116,0.521461480194863,0.5208217045845476,1107.0,0.0375000000625,16,9
weighted avg,0.5386656824887096,0.5230352303523035,0.522882816850685,1107.0,0.0375000000625,16,9
