,precision,recall,f1-score,support,lr,bs,epoch
joy,0.7054794520547946,0.6821192052980133,0.6936026936026936,151.0,0.0375000000625,16,5
fear,0.6496815286624203,0.6035502958579881,0.6257668711656441,169.0,0.0375000000625,16,5
shame,0.3373493975903614,0.535031847133758,0.41379310344827586,157.0,0.0375000000625,16,5
disgust,0.4320388349514563,0.5816993464052288,0.4958217270194986,153.0,0.0375000000625,16,5
guilt,0.48598130841121495,0.33121019108280253,0.3939393939393939,157.0,0.0375000000625,16,5
anger,0.45918367346938777,0.2980132450331126,0.3614457831325301,151.0,0.0375000000625,16,5
sadness,0.6944444444444444,0.591715976331361,0.6389776357827476,169.0,0.0375000000625,16,5
accuracy,0.5194218608852755,0.5194218608852755,0.5194218608852755,0.5194218608852755,0.0375000000625,16,5
macro avg,0.5377369485120115,0.5176200153060377,0.5176210297272548,1107.0,0.0375000000625,16,5
weighted avg,0.5405476820226125,0.5194218608852755,0.5200802782160292,1107.0,0.0375000000625,16,5
