,precision,recall,f1-score,support,lr,bs,epoch
joy,0.6838235294117647,0.6158940397350994,0.6480836236933798,151.0,0.05000000005,32,5
fear,0.797979797979798,0.46745562130177515,0.5895522388059702,169.0,0.05000000005,32,5
shame,0.40718562874251496,0.43312101910828027,0.4197530864197531,157.0,0.05000000005,32,5
disgust,0.8333333333333334,0.09803921568627451,0.17543859649122806,153.0,0.05000000005,32,5
guilt,0.32926829268292684,0.5159235668789809,0.4019851116625311,157.0,0.05000000005,32,5
anger,0.4028776978417266,0.3708609271523179,0.38620689655172413,151.0,0.05000000005,32,5
sadness,0.39072847682119205,0.6982248520710059,0.5010615711252654,169.0,0.05000000005,32,5
accuracy,0.46070460704607047,0.46070460704607047,0.46070460704607047,0.46070460704607047,0.05000000005,32,5
macro avg,0.5493138224018937,0.4570741774191049,0.4460115892499788,1107.0,0.05000000005,32,5
weighted avg,0.5493286805966023,0.46070460704607047,0.44837091670954476,1107.0,0.05000000005,32,5
