,precision,recall,f1-score,support,lr,bs,epoch
joy,0.7094594594594594,0.695364238410596,0.7023411371237458,151.0,0.025000000075,16,5
fear,0.6010928961748634,0.650887573964497,0.625,169.0,0.025000000075,16,5
shame,0.38461538461538464,0.5414012738853503,0.4497354497354497,157.0,0.025000000075,16,5
disgust,0.45226130653266333,0.5882352941176471,0.5113636363636364,153.0,0.025000000075,16,5
guilt,0.464,0.36942675159235666,0.4113475177304965,157.0,0.025000000075,16,5
anger,0.5,0.304635761589404,0.3786008230452675,151.0,0.025000000075,16,5
sadness,0.697841726618705,0.5739644970414202,0.6298701298701298,169.0,0.025000000075,16,5
accuracy,0.5338753387533876,0.5338753387533876,0.5338753387533876,0.5338753387533876,0.025000000075,16,5
macro avg,0.5441815390572965,0.5319879129430388,0.5297512419812465,1107.0,0.025000000075,16,5
weighted avg,0.5461399502390283,0.5338753387533876,0.5318192865305897,1107.0,0.025000000075,16,5
