,precision,recall,f1-score,support,lr,bs,epoch
joy,0.6463414634146342,0.7019867549668874,0.673015873015873,151.0,0.0625000000375,16,13
fear,0.5977653631284916,0.6331360946745562,0.6149425287356323,169.0,0.0625000000375,16,13
shame,0.44805194805194803,0.4394904458598726,0.44372990353697744,157.0,0.0625000000375,16,13
disgust,0.4270833333333333,0.5359477124183006,0.47536231884057967,153.0,0.0625000000375,16,13
guilt,0.504950495049505,0.3248407643312102,0.39534883720930236,157.0,0.0625000000375,16,13
anger,0.41975308641975306,0.4503311258278146,0.4345047923322684,151.0,0.0625000000375,16,13
sadness,0.6129032258064516,0.5621301775147929,0.5864197530864198,169.0,0.0625000000375,16,13
accuracy,0.5221318879855466,0.5221318879855466,0.5221318879855466,0.5221318879855466,0.0625000000375,16,13
macro avg,0.5224069878863025,0.5211232965133478,0.5176177152510075,1107.0,0.0625000000375,16,13
weighted avg,0.5244339675898156,0.5221318879855466,0.5191794427960892,1107.0,0.0625000000375,16,13
