,precision,recall,f1-score,support,lr,bs,epoch
joy,0.5833333333333334,0.7417218543046358,0.653061224489796,151.0,0.025000000075,64,11
fear,0.48880597014925375,0.7751479289940828,0.5995423340961098,169.0,0.025000000075,64,11
shame,0.4329896907216495,0.535031847133758,0.47863247863247865,157.0,0.025000000075,64,11
disgust,0.6181818181818182,0.4444444444444444,0.5171102661596958,153.0,0.025000000075,64,11
guilt,0.390625,0.47770700636942676,0.42979942693409745,157.0,0.025000000075,64,11
anger,0.7142857142857143,0.033112582781456956,0.06329113924050632,151.0,0.025000000075,64,11
sadness,0.6944444444444444,0.591715976331361,0.6389776357827476,169.0,0.025000000075,64,11
accuracy,0.5194218608852755,0.5194218608852755,0.5194218608852755,0.5194218608852755,0.025000000075,64,11
macro avg,0.5603808530166019,0.5141259486227379,0.4829163579050616,1107.0,0.025000000075,64,11
weighted avg,0.5598908047713896,0.5194218608852755,0.48710095910495793,1107.0,0.025000000075,64,11
