,precision,recall,f1-score,support,lr,bs,epoch
joy,0.6598639455782312,0.6423841059602649,0.6510067114093959,151.0,0.01250000008749999,16,3
fear,0.5131578947368421,0.6923076923076923,0.5894206549118387,169.0,0.01250000008749999,16,3
shame,0.49107142857142855,0.3503184713375796,0.40892193308550184,157.0,0.01250000008749999,16,3
disgust,0.4017094017094017,0.6143790849673203,0.48578811369509056,153.0,0.01250000008749999,16,3
guilt,0.44755244755244755,0.40764331210191085,0.4266666666666667,157.0,0.01250000008749999,16,3
anger,0.4628099173553719,0.3708609271523179,0.4117647058823529,151.0,0.01250000008749999,16,3
sadness,0.7622950819672131,0.5502958579881657,0.6391752577319588,169.0,0.01250000008749999,16,3
accuracy,0.5203252032520326,0.5203252032520326,0.5203252032520326,0.5203252032520326,0.01250000008749999,16,3
macro avg,0.5340657310672766,0.5183127788307502,0.5161062919118293,1107.0,0.01250000008749999,16,3
weighted avg,0.5364957483097981,0.5203252032520326,0.5181790287301674,1107.0,0.01250000008749999,16,3
