,precision,recall,f1-score,support,lr,bs,epoch
joy,0.14285714285714285,0.033112582781456956,0.053763440860215055,151.0,1e-10,32,3
fear,0.1118421052631579,0.10059171597633136,0.1059190031152648,169.0,1e-10,32,3
shame,0.1329479768786127,0.1464968152866242,0.1393939393939394,157.0,1e-10,32,3
disgust,1.0,0.006535947712418301,0.012987012987012988,153.0,1e-10,32,3
guilt,0.0,0.0,0.0,157.0,1e-10,32,3
anger,0.12017167381974249,0.18543046357615894,0.14583333333333334,151.0,1e-10,32,3
sadness,0.13255360623781676,0.40236686390532544,0.19941348973607034,169.0,1e-10,32,3
accuracy,0.12827461607949414,0.12827461607949414,0.12827461607949414,0.12827461607949414,1e-10,32,3
macro avg,0.23433892929378183,0.12493348417690217,0.09390145991797656,1107.0,1e-10,32,3
weighted avg,0.23025569912539892,0.12827461607949414,0.09540394369192674,1107.0,1e-10,32,3
