,precision,recall,f1-score,support,lr,bs,epoch
joy,0.6797385620915033,0.6887417218543046,0.6842105263157895,151.0,0.025000000075,16,7
fear,0.6626506024096386,0.650887573964497,0.6567164179104478,169.0,0.025000000075,16,7
shame,0.36936936936936937,0.5222929936305732,0.43271767810026385,157.0,0.025000000075,16,7
disgust,0.4393939393939394,0.5686274509803921,0.4957264957264957,153.0,0.025000000075,16,7
guilt,0.4774774774774775,0.3375796178343949,0.3955223880597015,157.0,0.025000000075,16,7
anger,0.45918367346938777,0.2980132450331126,0.3614457831325301,151.0,0.025000000075,16,7
sadness,0.6289308176100629,0.591715976331361,0.6097560975609757,169.0,0.025000000075,16,7
accuracy,0.5248419150858176,0.5248419150858176,0.5248419150858176,0.5248419150858176,0.025000000075,16,7
macro avg,0.5309634916887683,0.5225512256612337,0.519442198115172,1107.0,0.025000000075,16,7
weighted avg,0.5333665268611127,0.5248419150858176,0.5219582674567618,1107.0,0.025000000075,16,7
