,precision,recall,f1-score,support,lr,bs,epoch
joy,0.38461538461538464,0.033112582781456956,0.06097560975609756,151.0,0.025000000075,64,1
fear,0.0,0.0,0.0,169.0,0.025000000075,64,1
shame,0.0,0.0,0.0,157.0,0.025000000075,64,1
disgust,0.13985374771480805,1.0,0.2453889334402566,153.0,0.025000000075,64,1
guilt,0.0,0.0,0.0,157.0,0.025000000075,64,1
anger,0.0,0.0,0.0,151.0,0.025000000075,64,1
sadness,0.0,0.0,0.0,169.0,0.025000000075,64,1
accuracy,0.14272809394760613,0.14272809394760613,0.14272809394760613,0.14272809394760613,0.025000000075,64,1
macro avg,0.0749241617614561,0.14758751182592242,0.043766363313764885,1107.0,0.025000000075,64,1
weighted avg,0.07179272491173326,0.14272809394760613,0.04223290324257451,1107.0,0.025000000075,64,1
