,precision,recall,f1-score,support,lr,bs,epoch
joy,1.0,0.026490066225165563,0.05161290322580646,151.0,0.0625000000375,32,1
fear,0.0,0.0,0.0,169.0,0.0625000000375,32,1
shame,0.0,0.0,0.0,157.0,0.0625000000375,32,1
disgust,0.0,0.0,0.0,153.0,0.0625000000375,32,1
guilt,0.07407407407407407,0.025477707006369428,0.037914691943127965,157.0,0.0625000000375,32,1
anger,0.0,0.0,0.0,151.0,0.0625000000375,32,1
sadness,0.15090735434574976,0.9349112426035503,0.25986842105263164,169.0,0.0625000000375,32,1
accuracy,0.14995483288166214,0.14995483288166214,0.14995483288166214,0.14995483288166214,0.0625000000375,32,1
macro avg,0.17499734691711769,0.14098271654786934,0.04991371660308087,1107.0,0.0625000000375,32,1
weighted avg,0.16994848465588194,0.14995483288166214,0.05209026032525981,1107.0,0.0625000000375,32,1
